0,0.25246,0.3279
1,0.3937,0.4722
2,0.49054,0.5303
3,0.58028,0.5784
4,0.65318,0.6547
5,0.68898,0.6126
6,0.72768,0.7241
7,0.75924,0.6915
8,0.7818,0.7612
9,0.7994,0.728
10,0.8106,0.7757
11,0.82002,0.761
12,0.826,0.8077
13,0.83024,0.7998
14,0.83492,0.7948
15,0.84214,0.7605
16,0.84648,0.8035
17,0.84816,0.7994
18,0.85058,0.7952
19,0.8571,0.8038
20,0.85996,0.8279
21,0.8635,0.805
22,0.86796,0.7997
23,0.87008,0.8269
24,0.8718,0.7795
25,0.87476,0.8274
26,0.87434,0.8409
27,0.88006,0.8186
28,0.88224,0.8422
29,0.88488,0.8489
30,0.88568,0.8316
31,0.88894,0.8296
32,0.89182,0.8311
33,0.89266,0.8488
34,0.89254,0.8203
35,0.897,0.8605
36,0.89588,0.8697
37,0.89828,0.8432
38,0.90172,0.8647
39,0.9037,0.8716
40,0.90572,0.841
41,0.90676,0.864
42,0.91042,0.8519
43,0.9138,0.8301
44,0.91382,0.8733
45,0.9162,0.8669
46,0.91912,0.8573
47,0.9221,0.8704
48,0.9235,0.8638
49,0.92448,0.8526
50,0.92648,0.8808
51,0.9298,0.8986
52,0.93056,0.8815
53,0.93446,0.8916
54,0.93474,0.8913
55,0.93824,0.9041
56,0.93892,0.8835
57,0.94462,0.9008
58,0.94396,0.9032
59,0.9454,0.9026
60,0.94996,0.908
61,0.95252,0.9032
62,0.95368,0.8941
63,0.95634,0.8983
64,0.9577,0.9035
65,0.96298,0.9092
66,0.96504,0.9138
67,0.96574,0.9074
68,0.96734,0.8901
69,0.9709,0.9119
70,0.97416,0.9156
71,0.97626,0.9181
72,0.97974,0.9216
73,0.97992,0.9161
74,0.98254,0.9222
75,0.98526,0.9249
76,0.98714,0.9249
77,0.98896,0.928
78,0.99106,0.9263
79,0.99152,0.9308
80,0.99382,0.932
81,0.99634,0.937
82,0.99674,0.9425
83,0.99764,0.943
84,0.99802,0.942
85,0.9988,0.9436
86,0.99916,0.9452
87,0.99932,0.9468
88,0.9995,0.9455
89,0.99942,0.9484
90,0.99958,0.9483
91,0.9997,0.9488
92,0.99976,0.9466
93,0.9997,0.9479
94,0.99962,0.9483
95,0.99978,0.948
96,0.9998,0.9486
97,0.99976,0.9494
98,0.99992,0.949
99,0.99982,0.9492
